method,attack,epsilon,model,model_role,sample_count,generated_count,psnr,ssim,ciede2000,asr_paper_denominator,asr_clean_correct_only,strict_asr_sample_count,exact_container_recovery_rate,paper_rgb_recovery_rate,sup_png_verified_count,sup_png_recovery_rate,maximum_channel_error,runtime_seconds
OURS,FGSM,2/255,resnet50,black_box,1000,977,40.79408606613341,0.9759656822263564,1.3668528210292121,0.4247697031729785,0.27906976744186046,774,1.0,,0,,0,1172.588708199968
OURS,FGSM,2/255,vgg19,black_box,1000,977,40.79408606613341,0.9759656822263564,1.3668528210292121,0.4851586489252815,0.22910216718266255,646,1.0,,0,,0,1172.588708199968
OURS,I-FGSM,2/255,inception_v3,white_box,1,1,36.14427004411749,0.9657636002699425,2.2786865860346923,1.0,1.0,1,1.0,,0,,0,2552.7568079999764
OURS,I-FGSM,2/255,googlenet,white_box,1,1,36.14427004411749,0.9657636002699425,2.2786865860346923,0.0,0.0,1,1.0,,0,,0,2552.7568079999764
OURS,I-FGSM,2/255,densenet161,white_box,1,1,36.14427004411749,0.9657636002699425,2.2786865860346923,1.0,1.0,1,1.0,,0,,0,2552.7568079999764
OURS,I-FGSM,2/255,resnet50,black_box,1,1,36.14427004411749,0.9657636002699425,2.2786865860346923,1.0,1.0,1,1.0,,0,,0,2552.7568079999764
OURS,I-FGSM,2/255,vgg19,black_box,1,1,36.14427004411749,0.9657636002699425,2.2786865860346923,0.0,0.0,1,1.0,,0,,0,2552.7568079999764
OURS,I-FGSM,2/255,inception_v3,white_box,10,10,41.41212864659228,0.9772711495154557,1.4803118849462908,1.0,1.0,10,1.0,,0,,0,2552.7568079999764
OURS,I-FGSM,2/255,googlenet,white_box,10,10,41.41212864659228,0.9772711495154557,1.4803118849462908,0.5,0.5,10,1.0,,0,,0,2552.7568079999764
OURS,I-FGSM,2/255,densenet161,white_box,10,10,41.41212864659228,0.9772711495154557,1.4803118849462908,0.8,0.8,10,1.0,,0,,0,2552.7568079999764
OURS,I-FGSM,2/255,resnet50,black_box,10,10,41.41212864659228,0.9772711495154557,1.4803118849462908,0.4,0.25,8,1.0,,0,,0,2552.7568079999764
OURS,I-FGSM,2/255,vgg19,black_box,10,10,41.41212864659228,0.9772711495154557,1.4803118849462908,0.3,0.125,8,1.0,,0,,0,2552.7568079999764
OURS,I-FGSM,2/255,inception_v3,white_box,1000,941,41.344787848876244,0.9794065987454974,1.457040576615213,0.9989373007438895,0.9989373007438895,941,1.0,,0,,0,2552.7568079999764
OURS,I-FGSM,2/255,googlenet,white_box,1000,941,41.344787848876244,0.9794065987454974,1.457040576615213,0.6801275239107333,0.6801275239107333,941,1.0,,0,,0,2552.7568079999764
OURS,I-FGSM,2/255,densenet161,white_box,1000,941,41.344787848876244,0.9794065987454974,1.457040576615213,0.7534537725823592,0.7534537725823592,941,1.0,,0,,0,2552.7568079999764
OURS,I-FGSM,2/255,resnet50,black_box,1000,941,41.344787848876244,0.9794065987454974,1.457040576615213,0.41445270988310307,0.2644295302013423,745,1.0,,0,,0,2552.7568079999764
