method,attack,epsilon,model,model_role,sample_count,generated_count,psnr,ssim,ciede2000,asr_paper_denominator,asr_clean_correct_only,strict_asr_sample_count,exact_container_recovery_rate,paper_rgb_recovery_rate,sup_png_verified_count,sup_png_recovery_rate,maximum_channel_error,runtime_seconds
YACK,FGSM,2/255,densenet161,white_box,1000,994,41.47747383994661,0.9786529892107869,1.3238002649947658,0.02012072434607646,0.02012072434607646,994,1.0,,0,,0,1490.6683886999963
YACK,FGSM,2/255,resnet50,black_box,1000,994,41.47747383994661,0.9786529892107869,1.3238002649947658,0.2806841046277666,0.10619469026548672,791,1.0,,0,,0,1490.6683886999963
YACK,FGSM,2/255,vgg19,black_box,1000,994,41.47747383994661,0.9786529892107869,1.3238002649947658,0.3843058350100604,0.10287443267776097,661,1.0,,0,,0,1490.6683886999963
YACK,I-FGSM,2/255,inception_v3,white_box,1,1,37.26877123756799,0.9729468228376095,2.1858447149830242,1.0,1.0,1,1.0,,0,,0,1636.5170718000154
YACK,I-FGSM,2/255,googlenet,white_box,1,1,37.26877123756799,0.9729468228376095,2.1858447149830242,0.0,0.0,1,1.0,,0,,0,1636.5170718000154
YACK,I-FGSM,2/255,densenet161,white_box,1,1,37.26877123756799,0.9729468228376095,2.1858447149830242,0.0,0.0,1,1.0,,0,,0,1636.5170718000154
YACK,I-FGSM,2/255,resnet50,black_box,1,1,37.26877123756799,0.9729468228376095,2.1858447149830242,1.0,1.0,1,1.0,,0,,0,1636.5170718000154
YACK,I-FGSM,2/255,vgg19,black_box,1,1,37.26877123756799,0.9729468228376095,2.1858447149830242,0.0,0.0,1,1.0,,0,,0,1636.5170718000154
YACK,I-FGSM,2/255,inception_v3,white_box,10,10,42.319786649661374,0.9800625559826008,1.4110248549495679,1.0,1.0,10,1.0,,0,,0,1636.5170718000154
YACK,I-FGSM,2/255,googlenet,white_box,10,10,42.319786649661374,0.9800625559826008,1.4110248549495679,0.0,0.0,10,1.0,,0,,0,1636.5170718000154
YACK,I-FGSM,2/255,densenet161,white_box,10,10,42.319786649661374,0.9800625559826008,1.4110248549495679,0.0,0.0,10,1.0,,0,,0,1636.5170718000154
YACK,I-FGSM,2/255,resnet50,black_box,10,10,42.319786649661374,0.9800625559826008,1.4110248549495679,0.3,0.125,8,1.0,,0,,0,1636.5170718000154
YACK,I-FGSM,2/255,vgg19,black_box,10,10,42.319786649661374,0.9800625559826008,1.4110248549495679,0.2,0.0,8,1.0,,0,,0,1636.5170718000154
YACK,I-FGSM,2/255,inception_v3,white_box,1000,981,42.024940471144,0.9817854820722389,1.4101473035686973,1.0,1.0,981,1.0,,0,,0,1636.5170718000154
YACK,I-FGSM,2/255,googlenet,white_box,1000,981,42.024940471144,0.9817854820722389,1.4101473035686973,0.04383282364933741,0.04383282364933741,981,1.0,,0,,0,1636.5170718000154
YACK,I-FGSM,2/255,densenet161,white_box,1000,981,42.024940471144,0.9817854820722389,1.4101473035686973,0.01529051987767584,0.01529051987767584,981,1.0,,0,,0,1636.5170718000154
YACK,I-FGSM,2/255,resnet50,black_box,1000,981,42.024940471144,0.9817854820722389,1.4101473035686973,0.2670744138634047,0.08962868117797695,781,1.0,,0,,0,1636.5170718000154
YACK,I-FGSM,2/255,vgg19,black_box,1000,981,42.024940471144,0.9817854820722389,1.4101473035686973,0.37920489296636084,0.07395993836671803,649,1.0,,0,,0,1636.5170718000154
YACK,PGD,2/255,inception_v3,white_box,1,1,37.276525597640145,0.9730989423904578,2.1855136796922987,1.0,1.0,1,1.0,,0,,0,1430.79740879999
YACK,PGD,2/255,googlenet,white_box,1,1,37.276525597640145,0.9730989423904578,2.1855136796922987,0.0,0.0,1,1.0,,0,,0,1430.79740879999
YACK,PGD,2/255,densenet161,white_box,1,1,37.276525597640145,0.9730989423904578,2.1855136796922987,0.0,0.0,1,1.0,,0,,0,1430.79740879999
YACK,PGD,2/255,resnet50,black_box,1,1,37.276525597640145,0.9730989423904578,2.1855136796922987,0.0,0.0,1,1.0,,0,,0,1430.79740879999
YACK,PGD,2/255,vgg19,black_box,1,1,37.276525597640145,0.9730989423904578,2.1855136796922987,0.0,0.0,1,1.0,,0,,0,1430.79740879999
YACK,PGD,2/255,inception_v3,white_box,10,10,42.36772674814141,0.9801959027665553,1.4112283266630892,1.0,1.0,10,1.0,,0,,0,1430.79740879999
YACK,PGD,2/255,googlenet,white_box,10,10,42.36772674814141,0.9801959027665553,1.4112283266630892,0.0,0.0,10,1.0,,0,,0,1430.79740879999
YACK,PGD,2/255,densenet161,white_box,10,10,42.36772674814141,0.9801959027665553,1.4112283266630892,0.0,0.0,10,1.0,,0,,0,1430.79740879999
YACK,PGD,2/255,resnet50,black_box,10,10,42.36772674814141,0.9801959027665553,1.4112283266630892,0.2,0.0,8,1.0,,0,,0,1430.79740879999
YACK,PGD,2/255,vgg19,black_box,10,10,42.36772674814141,0.9801959027665553,1.4112283266630892,0.3,0.125,8,1.0,,0,,0,1430.79740879999
YACK,PGD,2/255,inception_v3,white_box,1000,976,41.98506593475247,0.9815901825040698,1.4173554889154312,1.0,1.0,976,1.0,,0,,0,1430.79740879999
YACK,PGD,2/255,googlenet,white_box,1000,976,41.98506593475247,0.9815901825040698,1.4173554889154312,0.040983606557377046,0.040983606557377046,976,1.0,,0,,0,1430.79740879999
YACK,PGD,2/255,densenet161,white_box,1000,976,41.98506593475247,0.9815901825040698,1.4173554889154312,0.01331967213114754,0.01331967213114754,976,1.0,,0,,0,1430.79740879999
YACK,PGD,2/255,resnet50,black_box,1000,976,41.98506593475247,0.9815901825040698,1.4173554889154312,0.26229508196721313,0.08365508365508366,777,1.0,,0,,0,1430.79740879999
YACK,PGD,2/255,vgg19,black_box,1000,976,41.98506593475247,0.9815901825040698,1.4173554889154312,0.3709016393442623,0.06501547987616099,646,1.0,,0,,0,1430.79740879999
YACK,MI-FGSM,2/255,inception_v3,white_box,1,1,41.96983066383227,0.9856277439743716,1.2159606146872557,1.0,1.0,1,1.0,,0,,0,1551.5394183999742
YACK,MI-FGSM,2/255,googlenet,white_box,1,1,41.96983066383227,0.9856277439743716,1.2159606146872557,0.0,0.0,1,1.0,,0,,0,1551.5394183999742
YACK,MI-FGSM,2/255,densenet161,white_box,1,1,41.96983066383227,0.9856277439743716,1.2159606146872557,0.0,0.0,1,1.0,,0,,0,1551.5394183999742
YACK,MI-FGSM,2/255,resnet50,black_box,1,1,41.96983066383227,0.9856277439743716,1.2159606146872557,1.0,1.0,1,1.0,,0,,0,1551.5394183999742
YACK,MI-FGSM,2/255,vgg19,black_box,1,1,41.96983066383227,0.9856277439743716,1.2159606146872557,0.0,0.0,1,1.0,,0,,0,1551.5394183999742
YACK,MI-FGSM,2/255,inception_v3,white_box,10,10,42.48088567398211,0.9800940234381532,1.3113592975604913,1.0,1.0,10,1.0,,0,,0,1551.5394183999742
YACK,MI-FGSM,2/255,googlenet,white_box,10,10,42.48088567398211,0.9800940234381532,1.3113592975604913,0.0,0.0,10,1.0,,0,,0,1551.5394183999742
YACK,MI-FGSM,2/255,densenet161,white_box,10,10,42.48088567398211,0.9800940234381532,1.3113592975604913,0.0,0.0,10,1.0,,0,,0,1551.5394183999742
YACK,MI-FGSM,2/255,resnet50,black_box,10,10,42.48088567398211,0.9800940234381532,1.3113592975604913,0.3,0.125,8,1.0,,0,,0,1551.5394183999742
YACK,MI-FGSM,2/255,vgg19,black_box,10,10,42.48088567398211,0.9800940234381532,1.3113592975604913,0.2,0.0,8,1.0,,0,,0,1551.5394183999742
YACK,MI-FGSM,2/255,inception_v3,white_box,1000,998,42.007137758445026,0.9812693206921508,1.3522868978967713,1.0,1.0,998,1.0,,0,,0,1551.5394183999742
YACK,MI-FGSM,2/255,googlenet,white_box,1000,998,42.007137758445026,0.9812693206921508,1.3522868978967713,0.05110220440881764,0.05110220440881764,998,1.0,,0,,0,1551.5394183999742
YACK,MI-FGSM,2/255,densenet161,white_box,1000,998,42.007137758445026,0.9812693206921508,1.3522868978967713,0.018036072144288578,0.018036072144288578,998,1.0,,0,,0,1551.5394183999742
YACK,MI-FGSM,2/255,resnet50,black_box,1000,998,42.007137758445026,0.9812693206921508,1.3522868978967713,0.2655310621242485,0.09056603773584905,795,1.0,,0,,0,1551.5394183999742
YACK,MI-FGSM,2/255,vgg19,black_box,1000,998,42.007137758445026,0.9812693206921508,1.3522868978967713,0.3787575150300601,0.09022556390977443,665,1.0,,0,,0,1551.5394183999742
YACK,NI-FGSM,2/255,inception_v3,white_box,1,1,36.3845128315487,0.9670085769250352,2.2391007077751794,1.0,1.0,1,1.0,,0,,0,2473.1267741000047
YACK,NI-FGSM,2/255,googlenet,white_box,1,1,36.3845128315487,0.9670085769250352,2.2391007077751794,0.0,0.0,1,1.0,,0,,0,2473.1267741000047
YACK,NI-FGSM,2/255,densenet161,white_box,1,1,36.3845128315487,0.9670085769250352,2.2391007077751794,0.0,0.0,1,1.0,,0,,0,2473.1267741000047
YACK,NI-FGSM,2/255,resnet50,black_box,1,1,36.3845128315487,0.9670085769250352,2.2391007077751794,1.0,1.0,1,1.0,,0,,0,2473.1267741000047
YACK,NI-FGSM,2/255,vgg19,black_box,1,1,36.3845128315487,0.9670085769250352,2.2391007077751794,0.0,0.0,1,1.0,,0,,0,2473.1267741000047
YACK,NI-FGSM,2/255,inception_v3,white_box,10,10,40.84646499891443,0.9747234330433002,1.4400008916131202,1.0,1.0,10,1.0,,0,,0,2473.1267741000047
